"year","genres","mean_ratings","count"
1996,"Sci-Fi",6.34665127020785,433
1996,"Short",6.66135371179039,916
1996,"Sport",6.6463768115942,345
1996,"Talk-Show",6.59444444444444,306
1996,"Thriller",5.92202166064982,554
1996,"War",7.19345794392523,107
1997,"Action",7.00343362831858,2825
1997,"Adult",6.51852551984877,529
1997,"Adventure",7.16485647788984,2578
1997,"Animation",7.37197278911565,2205
1997,"Biography",7.10925925925926,324
1997,"Comedy",6.9587835354649,5442
1997,"Crime",7.04979057591623,1910
1997,"Documentary",7.22206381534284,1473
1997,"Drama",6.94723082881487,5164
1997,"Family",6.90176553672316,1416
1997,"Fantasy",6.52556480380499,841
1997,"History",7.33479318734793,411
1997,"Horror",5.85926892950392,383
1997,"Music",7.03300395256917,506
1997,"Musical",5.81120331950207,241
1997,"Mystery",7.31002506265664,798
1997,"Other",6.01017964071856,334
1997,"Romance",6.80284360189573,1266
1997,"Sci-Fi",6.43301204819277,415
1997,"Short",6.67192118226601,1015
1997,"Sport",6.72521994134897,341
1997,"Talk-Show",5.63021390374332,374
1997,"Thriller",5.95080500894454,559
1997,"War",7.01848739495798,119
1998,"Action",6.96415532691669,3013
1998,"Adult",6.52848837209302,516
1998,"Adventure",7.16375650780937,2497
1998,"Animation",7.28402178847027,2203
1998,"Biography",6.97472527472527,364
1998,"Comedy",6.96455445544554,5555
1998,"Crime",7.06328754144955,2111
1998,"Documentary",7.1782412626832,1774
1998,"Drama",6.97336936265375,5366
1998,"Family",6.71688311688312,1309
1998,"Fantasy",6.29369797859691,841
1998,"History",7.41180555555556,288
1998,"Horror",5.81457489878543,494
1998,"Music",7.05496828752643,473
1998,"Musical",5.04226804123711,194
1998,"Mystery",7.31616541353383,798
1998,"Other",6.128,425
1998,"Romance",6.83554175293306,1449
1998,"Sci-Fi",6.5178970917226,447
1998,"Short",6.72970069071374,1303
1998,"Sport",6.70887949260042,473
1998,"Talk-Show",5.51261261261261,333
1998,"Thriller",6.08590831918506,589
1998,"War",7.14166666666667,144
1999,"Action",6.98412204234122,3212
1999,"Adult",6.63460869565217,575
1999,"Adventure",7.17402805611222,2495
1999,"Animation",7.27121451104101,2536
1999,"Biography",6.97815533980583,412
1999,"Comedy",6.95653953183827,6109
1999,"Crime",7.02723995880535,1942
1999,"Documentary",7.15432645034415,2034
1999,"Drama",6.92693856998993,5958
1999,"Family",7.05830235439901,1614
1999,"Fantasy",6.50764075067024,746
1999,"History",7.40326086956522,460
1999,"Horror",5.96684397163121,564
1999,"Music",6.96265486725664,565
1999,"Musical",5.26,115
1999,"Mystery",7.35493133583021,801
1999,"Other",6.50171821305842,291
1999,"Romance",6.80304449648712,1708
1999,"Sci-Fi",6.50286343612335,454
1999,"Short",6.60245591939547,1588
1999,"Sport",6.65133470225873,487
1999,"Talk-Show",6.25970695970696,273
1999,"Thriller",5.89983896940419,621
1999,"War",7.32088607594937,158
2000,"Action",6.93390216154721,3516
2000,"Adult",6.65238095238095,588
2000,"Adventure",7.02269158878505,2675
2000,"Animation",7.18362863217576,2822
2000,"Biography",7.01370143149284,489
2000,"Comedy",6.99127416955875,6051
2000,"Crime",7.03936120244246,2129
2000,"Documentary",7.0653895824365,2323
2000,"Drama",7.10999521759924,6273
2000,"Family",7.05932721712538,1635
2000,"Fantasy",6.54622871046229,822
2000,"History",7.4662037037037,432
2000,"Horror",5.9034965034965,715
2000,"Music",6.96813186813187,546
2000,"Musical",6.02272727272727,132
2000,"Mystery",7.21426966292135,890
2000,"Other",6.18958333333333,432
2000,"Romance",6.93972081218274,1576
2000,"Sci-Fi",6.64704684317719,491
2000,"Short",6.67538779731127,1934
2000,"Sport",6.38038461538462,520
2000,"Talk-Show",6.24811715481172,239
2000,"Thriller",5.78828125,640
2000,"War",7.18639053254438,169
2001,"Action",6.98802021403092,3364
2001,"Adult",6.56009316770186,644
2001,"Adventure",7.13062352012628,2534
2001,"Animation",7.20610526315789,2850
2001,"Biography",6.96637554585153,458
2001,"Comedy",7.03318604296815,6563
2001,"Crime",6.89991063449509,2238
2001,"Documentary",7.21319926873857,2735
2001,"Drama",7.13027758007117,7025
2001,"Family",7.21192758253461,1878
2001,"Fantasy",6.82438524590164,976
2001,"History",7.49837962962963,432
2001,"Horror",5.89121212121212,660
2001,"Music",7.11565096952909,722
2001,"Musical",6.1521472392638,163
2001,"Mystery",7.23746065057713,953
2001,"Other",6.7539393939394,495
2001,"Romance",6.96110244409776,1923
2001,"Sci-Fi",6.7723259762309,589
2001,"Short",6.69995433789954,2190
2001,"Sport",6.86745182012848,467
2001,"Talk-Show",6.37166666666667,300
2001,"Thriller",5.76003236245955,618
2001,"War",7.19943181818182,176
2002,"Action",6.9790811904074,3461
2002,"Adult",6.65557299843014,637
2002,"Adventure",7.19633982538616,2978
2002,"Animation",7.20312215822977,3299
2002,"Biography",6.92048780487805,410
2002,"Comedy",6.97758369723435,6870
2002,"Crime",7.07546125461255,2168
2002,"Documentary",7.14270592127026,3023
2002,"Drama",7.09963734049698,7445
2002,"Family",7.02642369020501,1756
