"X","crop","year","yield","pct_change_yield","genres","mean_ratings","count","pct_change_rating"
15,"maize",1995,49839.1237373799,-1.64809676699113,"Other",7.15225806451613,310,3.37235245755764
15,"maize",1995,49839.1237373799,-1.64809676699113,"Romance",6.80464216634429,1034,1.10574406292151
15,"maize",1995,49839.1237373799,-1.64809676699113,"Sci-Fi",6.29800884955752,452,-0.342791226197462
15,"maize",1995,49839.1237373799,-1.64809676699113,"Short",6.6487684729064,812,0.730553404069226
15,"maize",1995,49839.1237373799,-1.64809676699113,"Sport",6.62269736842105,304,-1.32512940271318
15,"maize",1995,49839.1237373799,-1.64809676699113,"Talk-Show",6.84150943396226,159,7.23369018749624
15,"maize",1995,49839.1237373799,-1.64809676699113,"Thriller",5.82674199623352,531,1.02177074576585
15,"maize",1995,49839.1237373799,-1.64809676699113,"War",7.43155339805825,206,4.40864149057685
16,"maize",1996,53304.2207511105,6.95256407795095,"Action",6.92350443844076,2591,0.278561931372234
16,"maize",1996,53304.2207511105,6.95256407795095,"Adult",6.48270676691729,532,1.39495749416837
16,"maize",1996,53304.2207511105,6.95256407795095,"Adventure",7.19391143911439,2168,-1.78353123771421
16,"maize",1996,53304.2207511105,6.95256407795095,"Animation",7.33894255210981,1967,-1.32833451710065
16,"maize",1996,53304.2207511105,6.95256407795095,"Biography",6.72935153583618,293,-2.44580171580544
16,"maize",1996,53304.2207511105,6.95256407795095,"Comedy",7.06263374485597,4860,-0.657734946340903
16,"maize",1996,53304.2207511105,6.95256407795095,"Crime",7.05163288288288,1776,0.177576278382284
16,"maize",1996,53304.2207511105,6.95256407795095,"Documentary",7.20030326004549,1319,0.759981140251559
16,"maize",1996,53304.2207511105,6.95256407795095,"Drama",6.97454508280515,4891,0.100839432662533
16,"maize",1996,53304.2207511105,6.95256407795095,"Family",7.22015838732901,1389,1.42124595014489
16,"maize",1996,53304.2207511105,6.95256407795095,"Fantasy",6.829793977813,631,-2.45657714708381
16,"maize",1996,53304.2207511105,6.95256407795095,"History",7.22016129032258,248,-2.81923284303025
16,"maize",1996,53304.2207511105,6.95256407795095,"Horror",5.93832923832924,407,5.53834530105728
16,"maize",1996,53304.2207511105,6.95256407795095,"Music",7.35653153153153,444,-1.07278413642281
16,"maize",1996,53304.2207511105,6.95256407795095,"Musical",6.61739130434783,92,-2.01768021731278
16,"maize",1996,53304.2207511105,6.95256407795095,"Mystery",7.24782608695652,736,1.80585833961144
16,"maize",1996,53304.2207511105,6.95256407795095,"Other",6.63728323699422,346,-7.20017123091244
16,"maize",1996,53304.2207511105,6.95256407795095,"Romance",6.85032021957914,1093,0.671277814736141
16,"maize",1996,53304.2207511105,6.95256407795095,"Sci-Fi",6.34665127020785,433,0.772346019389084
16,"maize",1996,53304.2207511105,6.95256407795095,"Short",6.66135371179039,916,0.189286766944511
16,"maize",1996,53304.2207511105,6.95256407795095,"Sport",6.6463768115942,345,0.357549829863292
16,"maize",1996,53304.2207511105,6.95256407795095,"Talk-Show",6.59444444444444,306,-3.61126432555004
16,"maize",1996,53304.2207511105,6.95256407795095,"Thriller",5.92202166064982,554,1.63521337443618
16,"maize",1996,53304.2207511105,6.95256407795095,"War",7.19345794392523,107,-3.20384502915946
17,"maize",1997,52232.1386010293,-2.01125189520544,"Action",7.00343362831858,2825,1.15446145212295
17,"maize",1997,52232.1386010293,-2.01125189520544,"Adult",6.51852551984877,529,0.552527736010996
17,"maize",1997,52232.1386010293,-2.01125189520544,"Adventure",7.16485647788984,2578,-0.40388266481255
17,"maize",1997,52232.1386010293,-2.01125189520544,"Animation",7.37197278911565,2205,0.450068068680336
17,"maize",1997,52232.1386010293,-2.01125189520544,"Biography",7.10925925925926,324,5.64553243206178
17,"maize",1997,52232.1386010293,-2.01125189520544,"Comedy",6.9587835354649,5442,-1.47041759692988
17,"maize",1997,52232.1386010293,-2.01125189520544,"Crime",7.04979057591623,1910,-0.026125962557158
17,"maize",1997,52232.1386010293,-2.01125189520544,"Documentary",7.22206381534284,1473,0.302217205462698
17,"maize",1997,52232.1386010293,-2.01125189520544,"Drama",6.94723082881487,5164,-0.391627750139859
17,"maize",1997,52232.1386010293,-2.01125189520544,"Family",6.90176553672316,1416,-4.40977653848444
17,"maize",1997,52232.1386010293,-2.01125189520544,"Fantasy",6.52556480380499,841,-4.4544414516209
17,"maize",1997,52232.1386010293,-2.01125189520544,"History",7.33479318734793,411,1.58766393735546
17,"maize",1997,52232.1386010293,-2.01125189520544,"Horror",5.85926892950392,383,-1.33135610459289
17,"maize",1997,52232.1386010293,-2.01125189520544,"Music",7.03300395256917,506,-4.39782766614481
17,"maize",1997,52232.1386010293,-2.01125189520544,"Musical",5.81120331950207,241,-12.1828670508886
